Flags Found:  0 | Visited:     1 | To Visit:     1 | Runtime: 0m 0s 927ms
Flags Found:  2 | Visited:   702 | To Visit:  1946 | Runtime: 0m 40s 648ms
Flags Found:  2 | Visited:   712 | To Visit:  1955 | Runtime: 0m 41s 187ms
Flags Found:  2 | Visited:   722 | To Visit:  1959 | Runtime: 0m 41s 736ms
Flags Found:  2 | Visited:   732 | To Visit:  1974 | Runtime: 0m 42s 258ms
Flags Found:  2 | Visited:   742 | To Visit:  1986 | Runtime: 0m 42s 900ms
Flags Found:  2 | Visited:   752 | To Visit:  1994 | Runtime: 0m 43s 435ms
Flags Found:  2 | Visited:   762 | To Visit:  2007 | Runtime: 0m 43s 965ms

fd043baf5966dd9a2f94eee152e1437b8e9265618b5b71c5e46aff8d8a30c777

Flags Found:  3 | Visited:   772 | To Visit:  2020 | Runtime: 0m 44s 476ms
Flags Found:  3 | Visited:   782 | To Visit:  2029 | Runtime: 0m 44s 985ms
Flags Found:  3 | Visited:   792 | To Visit:  2031 | Runtime: 0m 45s 553ms
Flags Found:  3 | Visited:   802 | To Visit:  2044 | Runtime: 0m 46s 33ms
Flags Found:  3 | Visited:   812 | To Visit:  2053 | Runtime: 0m 46s 570ms
Flags Found:  3 | Visited:   822 | To Visit:  2057 | Runtime: 0m 47s 144ms
Flags Found:  3 | Visited:   832 | To Visit:  2064 | Runtime: 0m 47s 750ms
Flags Found:  3 | Visited:   842 | To Visit:  2072 | Runtime: 0m 48s 346ms
Flags Found:  3 | Visited:   852 | To Visit:  2075 | Runtime: 0m 48s 874ms
Flags Found:  3 | Visited:   862 | To Visit:  2090 | Runtime: 0m 49s 456ms
Flags Found:  3 | Visited:   872 | To Visit:  2100 | Runtime: 0m 49s 979ms
Flags Found:  3 | Visited:   882 | To Visit:  2109 | Runtime: 0m 50s 517ms
Flags Found:  3 | Visited:   892 | To Visit:  2120 | Runtime: 0m 51s 67ms
Flags Found:  3 | Visited:   902 | To Visit:  2122 | Runtime: 0m 51s 564ms
Flags Found:  3 | Visited:   912 | To Visit:  2132 | Runtime: 0m 52s 62ms
Flags Found:  3 | Visited:   922 | To Visit:  2141 | Runtime: 0m 52s 554ms
Flags Found:  3 | Visited:   932 | To Visit:  2141 | Runtime: 0m 53s 72ms
Flags Found:  3 | Visited:   942 | To Visit:  2153 | Runtime: 0m 53s 557ms
Flags Found:  3 | Visited:   952 | To Visit:  2161 | Runtime: 0m 54s 66ms
Flags Found:  3 | Visited:   962 | To Visit:  2163 | Runtime: 0m 54s 581ms
Flags Found:  3 | Visited:   972 | To Visit:  2169 | Runtime: 0m 55s 86ms
Flags Found:  3 | Visited:   982 | To Visit:  2186 | Runtime: 0m 55s 634ms
Flags Found:  3 | Visited:   992 | To Visit:  2189 | Runtime: 0m 56s 146ms
Flags Found:  3 | Visited:  1002 | To Visit:  2197 | Runtime: 0m 56s 688ms
Flags Found:  3 | Visited:  1012 | To Visit:  2195 | Runtime: 0m 57s 193ms
Flags Found:  3 | Visited:  1022 | To Visit:  2199 | Runtime: 0m 57s 712ms
Flags Found:  3 | Visited:  1032 | To Visit:  2199 | Runtime: 0m 58s 222ms
Flags Found:  3 | Visited:  1042 | To Visit:  2202 | Runtime: 0m 58s 758ms
Flags Found:  3 | Visited:  1052 | To Visit:  2202 | Runtime: 0m 59s 322ms
Flags Found:  3 | Visited:  1062 | To Visit:  2208 | Runtime: 0m 59s 816ms
Flags Found:  3 | Visited:  1072 | To Visit:  2210 | Runtime: 1m 0s 394ms
Flags Found:  3 | Visited:  1082 | To Visit:  2219 | Runtime: 1m 0s 942ms
Flags Found:  3 | Visited:  1092 | To Visit:  2222 | Runtime: 1m 1s 465ms
Flags Found:  3 | Visited:  1102 | To Visit:  2223 | Runtime: 1m 2s 12ms
Flags Found:  3 | Visited:  1112 | To Visit:  2232 | Runtime: 1m 2s 527ms
Flags Found:  3 | Visited:  1122 | To Visit:  2233 | Runtime: 1m 3s 6ms
Flags Found:  3 | Visited:  1132 | To Visit:  2234 | Runtime: 1m 3s 562ms
Flags Found:  3 | Visited:  1142 | To Visit:  2241 | Runtime: 1m 4s 49ms
Flags Found:  3 | Visited:  1152 | To Visit:  2246 | Runtime: 1m 4s 588ms
Flags Found:  3 | Visited:  1162 | To Visit:  2250 | Runtime: 1m 5s 93ms
Flags Found:  3 | Visited:  1172 | To Visit:  2257 | Runtime: 1m 5s 568ms
Flags Found:  3 | Visited:  1182 | To Visit:  2259 | Runtime: 1m 6s 36ms
Flags Found:  3 | Visited:  1192 | To Visit:  2262 | Runtime: 1m 6s 561ms
Flags Found:  3 | Visited:  1202 | To Visit:  2265 | Runtime: 1m 7s 107ms
Flags Found:  3 | Visited:  1212 | To Visit:  2274 | Runtime: 1m 7s 617ms
Flags Found:  3 | Visited:  1222 | To Visit:  2277 | Runtime: 1m 8s 149ms
Flags Found:  3 | Visited:  1232 | To Visit:  2276 | Runtime: 1m 8s 710ms
Flags Found:  3 | Visited:  1242 | To Visit:  2277 | Runtime: 1m 9s 223ms
Flags Found:  3 | Visited:  1252 | To Visit:  2278 | Runtime: 1m 9s 736ms
Flags Found:  3 | Visited:  1262 | To Visit:  2281 | Runtime: 1m 10s 572ms
Flags Found:  3 | Visited:  1272 | To Visit:  2283 | Runtime: 1m 11s 109ms
Flags Found:  3 | Visited:  1282 | To Visit:  2282 | Runtime: 1m 11s 659ms
Flags Found:  3 | Visited:  1292 | To Visit:  2284 | Runtime: 1m 12s 223ms
Flags Found:  3 | Visited:  1302 | To Visit:  2290 | Runtime: 1m 12s 740ms
Flags Found:  3 | Visited:  1312 | To Visit:  2292 | Runtime: 1m 13s 275ms
Flags Found:  3 | Visited:  1322 | To Visit:  2294 | Runtime: 1m 13s 814ms
Flags Found:  3 | Visited:  1332 | To Visit:  2298 | Runtime: 1m 14s 328ms
Flags Found:  3 | Visited:  1342 | To Visit:  2299 | Runtime: 1m 14s 824ms
Flags Found:  3 | Visited:  1352 | To Visit:  2302 | Runtime: 1m 15s 322ms
Flags Found:  3 | Visited:  1362 | To Visit:  2299 | Runtime: 1m 15s 833ms
Flags Found:  3 | Visited:  1372 | To Visit:  2300 | Runtime: 1m 16s 364ms
